State,County,Cases,County,Population,county matches county?,cases per pop
Kansas,Thomas,597,Thomas,"7,777",TRUE,0.076764819
Kansas,Trego,192,Trego,"2,803",TRUE,0.068498038
Kansas,Wabaunsee,278,Wabaunsee,"6,931",TRUE,0.040109652
Kansas,Wallace,133,Wallace,"1,518",TRUE,0.087615283
Kansas,Washington,264,Washington,"5,406",TRUE,0.048834628
Kansas,Wichita,124,Wichita,"2,119",TRUE,0.058518169
Kansas,Wilson,242,Wilson,"8,525",TRUE,0.028387097
Kansas,Woodson,56,Woodson,"3,138",TRUE,0.017845762
Kansas,Wyandotte,10535,Wyandotte,"165,429",TRUE,0.063682909
Kentucky,Adair,673,Adair,"19,202",TRUE,0.035048432
Kentucky,Allen,658,Allen,"21,315",TRUE,0.030870279
Kentucky,Anderson,435,Anderson,"22,747",TRUE,0.019123401
Kentucky,Ballard,122,Ballard,"7,888",TRUE,0.015466531
Kentucky,Barren,1788,Barren,"44,249",TRUE,0.040407693
Kentucky,Bath,219,Bath,"12,500",TRUE,0.01752
Kentucky,Bell,1138,Bell,"26,032",TRUE,0.043715427
Kentucky,Boone,3780,Boone,"133,581",TRUE,0.028297438
Kentucky,Bourbon,480,Bourbon,"19,788",TRUE,0.024257126
Kentucky,Boyd,1299,Boyd,"46,718",TRUE,0.027805129
Kentucky,Boyle,773,Boyle,"30,060",TRUE,0.025715236
Kentucky,Bracken,117,Bracken,"8,303",TRUE,0.014091292
Kentucky,Breathitt,284,Breathitt,"12,630",TRUE,0.022486144
Kentucky,Breckinridge,404,Breckinridge,"20,477",TRUE,0.019729453
Kentucky,Bullitt,2458,Bullitt,"81,676",TRUE,0.03009452
Kentucky,Butler,494,Butler,"12,879",TRUE,0.038357015
Kentucky,Caldwell,478,Caldwell,"12,747",TRUE,0.037499019
Kentucky,Calloway,1479,Calloway,"39,001",TRUE,0.037922105
Kentucky,Campbell,2386,Campbell,"93,584",TRUE,0.025495811
Kentucky,Carlisle,170,Carlisle,"4,760",TRUE,0.035714286
Kentucky,Carroll,293,Carroll,"10,631",TRUE,0.027560907
Kentucky,Carter,584,Carter,"26,797",TRUE,0.021793484
Kentucky,Casey,453,Casey,"16,159",TRUE,0.028033913
Kentucky,Christian,2626,Christian,"70,461",TRUE,0.037268844
Kentucky,Clark,763,Clark,"36,263",TRUE,0.02104073
Kentucky,Clay,906,Clay,"19,901",TRUE,0.04552535
Kentucky,Clinton,348,Clinton,"10,218",TRUE,0.034057546
Kentucky,Crittenden,215,Crittenden,"8,806",TRUE,0.024415171
Kentucky,Cumberland,202,Cumberland,"6,614",TRUE,0.030541276
Kentucky,Daviess,2993,Daviess,"101,511",TRUE,0.029484489
Kentucky,Edmonson,315,Edmonson,"12,150",TRUE,0.025925926
Kentucky,Elliott,551,Elliott,"7,517",TRUE,0.073300519
Kentucky,Estill,399,Estill,"14,106",TRUE,0.028285836
Kentucky,Fayette,14967,Fayette,"323,152",TRUE,0.046315666
Kentucky,Fleming,277,Fleming,"14,581",TRUE,0.018997325
Kentucky,Floyd,991,Floyd,"35,589",TRUE,0.027845683
Kentucky,Franklin,1220,Franklin,"50,991",TRUE,0.023925791
Kentucky,Fulton,271,Fulton,"5,969",TRUE,0.04540124
Kentucky,Gallatin,178,Gallatin,"8,869",TRUE,0.020069906
Kentucky,Garrard,485,Garrard,"17,666",TRUE,0.027453866
Kentucky,Grant,525,Grant,"25,069",TRUE,0.0209422
Kentucky,Graves,1504,Graves,"37,266",TRUE,0.040358504
Kentucky,Grayson,810,Grayson,"26,427",TRUE,0.030650471
Kentucky,Green,435,Green,"10,941",TRUE,0.039758706
Kentucky,Greenup,1058,Greenup,"35,098",TRUE,0.030144168
Kentucky,Hancock,270,Hancock,"8,722",TRUE,0.030956203
Kentucky,Hardin,3594,Hardin,"110,958",TRUE,0.032390634
Kentucky,Harlan,791,Harlan,"26,010",TRUE,0.03041138
Kentucky,Harrison,397,Harrison,"18,886",TRUE,0.021020862
Kentucky,Hart,669,Hart,"19,035",TRUE,0.035145784
Kentucky,Henderson,1829,Henderson,"45,210",TRUE,0.040455651
Kentucky,Henry,437,Henry,"16,126",TRUE,0.027099095
Kentucky,Hickman,138,Hickman,"4,380",TRUE,0.031506849
Kentucky,Hopkins,1600,Hopkins,"44,686",TRUE,0.035805398
Kentucky,Jackson,611,Jackson,"13,329",TRUE,0.045839898
Kentucky,Jefferson,32073,Jefferson,"766,757",TRUE,0.041829419
Kentucky,Jessamine,1506,Jessamine,"54,115",TRUE,0.027829622
Kentucky,Johnson,642,Johnson,"22,188",TRUE,0.028934559
Kentucky,Kenton,4542,Kenton,"166,998",TRUE,0.027197931
Kentucky,Knott,498,Knott,"14,806",TRUE,0.033635013
Kentucky,Knox,1106,Knox,"31,145",TRUE,0.035511318
Kentucky,Larue,487,Larue,"14,398",TRUE,0.033824142
Kentucky,Laurel,2206,Laurel,"60,813",TRUE,0.036275139
Kentucky,Lawrence,331,Lawrence,"15,317",TRUE,0.021609976
Kentucky,Lee,771,Lee,"7,403",TRUE,0.104146967
Kentucky,Leslie,190,Leslie,"9,877",TRUE,0.01923661
Kentucky,Letcher,443,Letcher,"21,553",TRUE,0.020553983
Kentucky,Lewis,438,Lewis,"13,275",TRUE,0.03299435
Kentucky,Lincoln,542,Lincoln,"24,549",TRUE,0.022078292
Kentucky,Livingston,238,Livingston,"9,194",TRUE,0.025886448
Kentucky,Logan,1081,Logan,"27,102",TRUE,0.039886355
Kentucky,Lyon,171,Lyon,"8,210",TRUE,0.020828258
Kentucky,Madison,3281,Madison,"92,987",TRUE,0.035284502
Kentucky,Magoffin,353,Magoffin,"12,161",TRUE,0.029027218
Kentucky,Marion,827,Marion,"19,273",TRUE,0.04290977
Kentucky,Marshall,811,Marshall,"31,100",TRUE,0.02607717
Kentucky,Martin,358,Martin,"11,195",TRUE,0.031978562
Kentucky,Mason,321,Mason,"17,070",TRUE,0.018804921
Kentucky,McCracken,2173,McCracken,"65,418",TRUE,0.033217157
Kentucky,McCreary,331,McCreary,"17,231",TRUE,0.019209564
Kentucky,McLean,343,McLean,"9,207",TRUE,0.037254263
Kentucky,Meade,596,Meade,"28,572",TRUE,0.020859583
Kentucky,Menifee,112,Menifee,"6,489",TRUE,0.017259978
Kentucky,Mercer,578,Mercer,"21,933",TRUE,0.026352984
Kentucky,Metcalfe,338,Metcalfe,"10,071",TRUE,0.033561712
Kentucky,Monroe,644,Monroe,"10,650",TRUE,0.060469484
Kentucky,Montgomery,789,Montgomery,"28,157",TRUE,0.028021451
Kentucky,Morgan,256,Morgan,"13,309",TRUE,0.019235104
Kentucky,Muhlenberg,1244,Muhlenberg,"30,622",TRUE,0.040624388
Kentucky,Nelson,1840,Nelson,"46,233",TRUE,0.039798412
Kentucky,Nicholas,151,Nicholas,"7,269",TRUE,0.020773146
Kentucky,Ohio,824,Ohio,"23,994",TRUE,0.034341919
Kentucky,Oldham,1964,Oldham,"66,799",TRUE,0.029401638
Kentucky,Owen,168,Owen,"10,901",TRUE,0.01541143
Kentucky,Owsley,170,Owsley,"4,415",TRUE,0.038505096
Kentucky,Pendleton,273,Pendleton,"14,590",TRUE,0.018711446
Kentucky,Perry,839,Perry,"25,758",TRUE,0.032572405
Kentucky,Pike,1590,Pike,"57,876",TRUE,0.027472527
Kentucky,Powell,392,Powell,"12,359",TRUE,0.031717777
Kentucky,Pulaski,1371,Pulaski,"64,979",TRUE,0.021099124
Kentucky,Robertson,66,Robertson,"2,108",TRUE,0.031309298
Kentucky,Rockcastle,457,Rockcastle,"16,695",TRUE,0.027373465
Kentucky,Rowan,648,Rowan,"24,460",TRUE,0.026492232
Kentucky,Russell,512,Russell,"17,923",TRUE,0.028566646
Kentucky,Scott,1525,Scott,"57,004",TRUE,0.026752509
Kentucky,Shelby,1989,Shelby,"49,024",TRUE,0.040571965
Kentucky,Simpson,524,Simpson,"18,572",TRUE,0.028214516
Kentucky,Spencer,538,Spencer,"19,351",TRUE,0.027802181
Kentucky,Taylor,794,Taylor,"25,769",TRUE,0.030812216
Kentucky,Todd,372,Todd,"12,294",TRUE,0.030258663
Kentucky,Trigg,351,Trigg,"14,651",TRUE,0.023957409
Kentucky,Trimble,142,Trimble,"8,471",TRUE,0.016763074
Kentucky,Union,668,Union,"14,381",TRUE,0.046450177
Kentucky,Warren,6586,Warren,"132,896",TRUE,0.049557549
Kentucky,Washington,435,Washington,"12,095",TRUE,0.035965275
Kentucky,Wayne,446,Wayne,"20,333",TRUE,0.021934786
Kentucky,Webster,511,Webster,"12,942",TRUE,0.039483851
Kentucky,Whitley,1319,Whitley,"36,264",TRUE,0.03637216
Kentucky,Wolfe,149,Wolfe,"7,157",TRUE,0.020818779
Maine,Androscoggin,1309,Androscoggin,"108,277",TRUE,0.012089363
Maine,Aroostook,91,Aroostook,"67,055",TRUE,0.001357095
Maine,Cumberland,3458,Cumberland,"295,003",TRUE,0.011721915
Maine,Franklin,187,Franklin,"30,199",TRUE,0.006192258
Maine,Hancock,201,Hancock,"54,987",TRUE,0.003655409
Maine,Kennebec,639,Kennebec,"122,302",TRUE,0.005224771
Maine,Knox,179,Knox,"39,772",TRUE,0.004500654
Maine,Lincoln,131,Lincoln,"34,634",TRUE,0.00378241
Maine,Oxford,277,Oxford,"57,975",TRUE,0.004777922
Maine,Penobscot,598,Penobscot,"152,148",TRUE,0.003930384
Maine,Piscataquis,32,Piscataquis,"16,785",TRUE,0.001906464
Maine,Sagadahoc,127,Sagadahoc,"35,856",TRUE,0.003541946
Maine,Somerset,387,Somerset,"50,484",TRUE,0.007665795
Maine,Waldo,202,Waldo,"39,715",TRUE,0.005086239
Maine,Washington,172,Washington,"31,379",TRUE,0.005481373
Maine,York,1965,York,"207,641",TRUE,0.009463449
Maryland,Allegany,2115,Allegany,"70,416",TRUE,0.030035787
Maryland,Anne Arundel,15103,Anne Arundel,"579,234",TRUE,0.026074091
Maryland,Baltimore,26088,Baltimore,"827,370",TRUE,0.031531238
Maryland,Baltimore City,22010,Baltimore City,"593,490",TRUE,0.037085713
Maryland,Calvert,1439,Calvert,"92,525",TRUE,0.015552553
Maryland,Caroline,844,Caroline,"33,406",TRUE,0.025264922
Maryland,Carroll,2930,Carroll,"168,447",TRUE,0.017394195
Maryland,Cecil,1795,Cecil,"102,855",TRUE,0.017451752
Maryland,Charles,3938,Charles,"163,257",TRUE,0.024121477
Maryland,Dorchester,932,Dorchester,"31,929",TRUE,0.029189765
Maryland,Frederick,5943,Frederick,"259,547",TRUE,0.022897587
Maryland,Garrett,447,Garrett,"29,014",TRUE,0.015406356
Maryland,Harford,5184,Harford,"255,441",TRUE,0.020294315
Maryland,Howard,7201,Howard,"325,690",TRUE,0.022109982
Maryland,Kent,391,Kent,"19,422",TRUE,0.020131809
Maryland,Montgomery,30580,Montgomery,"1,050,688",TRUE,0.029104739
Maryland,Prince George's,38053,Prince George's,"909,327",TRUE,0.041847432
Maryland,Queen Anne's,990,Queen Anne's,"50,381",TRUE,0.019650265
Maryland,Somerset,636,Somerset,"25,616",TRUE,0.024828232
Maryland,St. Mary's,1851,St. Mary's,"113,510",TRUE,0.016306933
Maryland,Talbot,733,Talbot,"37,181",TRUE,0.01971437
Maryland,Washington,3409,Washington,"151,049",TRUE,0.022568835
Maryland,Wicomico,3071,Wicomico,"103,609",TRUE,0.029640282
Maryland,Worcester,1403,Worcester,"52,276",TRUE,0.02683832
Massachusetts,Barnstable,2488,Barnstable,"212,990",TRUE,0.0116813
