State,County,Cases,Population,per_gop,per_dem,cases_per_pop
Kansas,Grant,649,"7,150",0.835267857,0.150446429,0.090769231
North Dakota,McIntosh,226,"2,497",0.792674499,0.178991016,0.09050861
Iowa,Webster,3245,"35,904",0.622491991,0.357949756,0.090379902
Tennessee,Haywood,1553,"17,304",0.449865229,0.539083558,0.089748035
Texas,Dawson,1141,"12,728",0.778833465,0.213248878,0.089644877
Texas,Lubbock,27660,"310,569",0.653555622,0.330746065,0.089062334
Iowa,Wright,1118,"12,562",0.733030465,0.245323356,0.088998567
Wisconsin,Dodge,7813,"87,839",0.646514217,0.337237355,0.088946823
North Dakota,Griggs,198,"2,231",0.725961538,0.246794872,0.08874944
Arkansas,Jackson,1479,"16,719",0.705870764,0.267927502,0.088462229
Kansas,Ellsworth,539,"6,102",0.61524422,0.36111594,0.088331695
Wisconsin,Shawano,3608,"40,899",0.561408531,0.428857715,0.088217316
South Dakota,Turner,739,"8,384",0.723394899,0.250439754,0.088144084
Kansas,Wallace,133,"1,518",0.816812609,0.16357268,0.087615283
Iowa,Dubuque,8475,"97,311",0.673195876,0.313402062,0.087091901
South Dakota,Bennett,293,"3,365",0.586644125,0.393913779,0.087072808
North Dakota,Ramsey,1002,"11,519",0.665796345,0.305110034,0.086986718
Tennessee,Hardeman,2175,"25,050",0.572678465,0.41558958,0.086826347
Texas,Scurry,1449,"16,703",0.848763853,0.139471441,0.086750883
Colorado,Logan,1940,"22,409",0.76716934,0.211411008,0.086572359
North Dakota,Rolette,1227,"14,176",0.330519652,0.652862042,0.08655474
Missouri,Sullivan,526,"6,089",0.778429878,0.202934451,0.086385285
North Dakota,Pierce,342,"3,975",0.688393608,0.239276703,0.086037736
South Dakota,Codington,2403,"28,009",0.680647367,0.291543196,0.085793852
Nebraska,Platte,2863,"33,470",0.775235973,0.210277923,0.085539289
North Dakota,Towner,187,"2,189",0.706484642,0.270477816,0.085427136
Kansas,Nemaha,873,"10,231",0.723336853,0.260521949,0.085328902
South Dakota,Clay,1198,"14,070",0.431028431,0.541067041,0.0851457
Iowa,Tama,1432,"16,854",0.759654001,0.230151375,0.084964993
South Dakota,Hughes,1483,"17,526",0.633039092,0.338530322,0.08461714
Iowa,O'Brien,1163,"13,753",0.808421053,0.180451128,0.084563368
Kansas,Ness,231,"2,750",0.82774518,0.150880134,0.084
Montana,Carter,105,"1,252",0.896990741,0.085648148,0.083865815
South Dakota,Hyde,109,"1,301",0.794366197,0.191549296,0.083781706
Montana,Glacier,1145,"13,753",0.334280639,0.639964476,0.083254563
Iowa,Henry,1661,"19,954",0.631387598,0.357907493,0.083241455
North Dakota,Hettinger,208,"2,499",0.831546708,0.149310873,0.083233293
North Dakota,Barnes,865,"10,415",0.641365535,0.326856728,0.083053289
Wisconsin,Oconto,3146,"37,930",0.698974757,0.289265099,0.082942262
North Dakota,Golden Valley,146,"1,761",0.849609375,0.1328125,0.082907439
Iowa,Winnebago,855,"10,354",0.518032242,0.466677746,0.082576782
South Dakota,Corson,336,"4,086",0.504286828,0.484801247,0.082232012
Idaho,Cassia,1966,"24,030",0.848874598,0.131832797,0.081814399
South Dakota,Hand,261,"3,191",0.780501089,0.203159041,0.081792542
North Dakota,Logan,151,"1,850",0.865853659,0.117260788,0.081621622
Virginia,Galax,518,"6,347",0.596978558,0.387426901,0.081613361
Virginia,Greensville,925,"11,336",0.606644154,0.377338688,0.081598447
Iowa,Marshall,3211,"39,369",0.675639627,0.303140536,0.081561635
Missouri,Nodaway,1798,"22,092",0.694247519,0.288535548,0.081386927
Mississippi,Issaquena,108,"1,327",0.455621302,0.525147929,0.081386586
Oklahoma,Woodward,1644,"20,211",0.849197174,0.129094412,0.081341844
California,Imperial,14720,"181,215",0.285445073,0.695848576,0.081229479
Tennessee,Obion,2440,"30,069",0.798017898,0.19147992,0.081146696
New Mexico,McKinley,5778,"71,367",0.2946207,0.680563509,0.080961789
South Dakota,Brown,3142,"38,839",0.602952072,0.372599305,0.080898066
South Dakota,Tripp,440,"5,441",0.801557864,0.183605341,0.080867488
Tennessee,Dyer,3004,"37,159",0.78054929,0.209433462,0.080841788
Arkansas,Hot Spring,2729,"33,771",0.734063825,0.244181396,0.080808978
South Dakota,Miner,179,"2,216",0.691564148,0.281195079,0.080776173
Wisconsin,Brown,21354,"264,542",0.526800036,0.454888863,0.080720642
Texas,Culberson,175,"2,171",0.480324074,0.506944444,0.080608015
Iowa,Osceola,480,"5,958",0.707684112,0.277134106,0.080563948
Wisconsin,Forest,725,"9,004",0.650633413,0.340855107,0.080519769
North Dakota,Cass,14630,"181,923",0.495506717,0.468174516,0.080418639
Texas,Maverick,4722,"58,722",0.859722222,0.133333333,0.080412792
Georgia,Clinch,531,"6,618",0.734986034,0.260824022,0.080235721
Nebraska,Madison,2808,"35,099",0.910596026,0.056291391,0.080002279
North Dakota,Renville,185,"2,327",0.806896552,0.167049808,0.079501504
North Dakota,Cavalier,299,"3,762",0.742079208,0.234653465,0.079479001
North Dakota,LaMoure,321,"4,046",0.740253853,0.238440617,0.079337617
Texas,Jones,1593,"20,083",0.840083695,0.147810492,0.079320819
Alabama,Lowndes,771,"9,726",0.268667643,0.727379209,0.079272054
Kansas,Kearny,304,"3,838",0.789903111,0.189189189,0.079207921
South Dakota,Kingsbury,391,"4,939",0.685138539,0.294710327,0.079165823
South Dakota,Lincoln,4834,"61,128",0.606254814,0.369157295,0.079079963
South Dakota,Spink,504,"6,376",0.665191274,0.315523237,0.079046424
South Dakota,Todd,803,"10,177",0.209531312,0.773139031,0.07890341
Wisconsin,Calumet,3942,"50,089",0.587918854,0.392604835,0.078699914
Arkansas,St. Francis,1959,"24,994",0.785127253,0.184517497,0.078378811
Wisconsin,Fond du Lac,8097,"103,403",0.623739576,0.359164021,0.078305272
Iowa,Lyon,920,"11,755",0.662174579,0.31914242,0.078264568
Wisconsin,Langlade,1497,"19,189",0.656868895,0.331839771,0.078013445
Iowa,Delaware,1318,"17,011",0.532190783,0.446650249,0.077479278
Nebraska,Dawson,1828,"23,595",0.709824829,0.271678816,0.077474041
North Dakota,Traill,622,"8,036",0.609779714,0.360929557,0.077401692
Iowa,Sac,752,"9,721",0.471302583,0.506158313,0.077358296
Wisconsin,Winnebago,13287,"171,907",0.508284414,0.468563893,0.077291791
South Dakota,Walworth,420,"5,435",0.762015504,0.218992248,0.077276909
North Dakota,Pembina,525,"6,801",0.737208598,0.237057221,0.07719453
Utah,Washington,13690,"177,556",0.73869177,0.225939397,0.077102435
Tennessee,Crockett,1096,"14,230",0.764311416,0.2260386,0.077020379
Montana,Fallon,219,"2,846",0.873015873,0.109206349,0.076950105
Idaho,Minidoka,1616,"21,039",0.655220108,0.318882053,0.076809734
Wisconsin,Kewaunee,1569,"20,434",0.656697871,0.329467318,0.076783792
Kansas,Thomas,597,"7,777",0.836556457,0.148471616,0.076764819
Mississippi,Bolivar,2350,"30,628",0.366262574,0.619293268,0.076727178
Illinois,Clinton,2875,"37,562",0.622207388,0.355896751,0.07654012
Tennessee,Lauderdale,1959,"25,633",0.632823831,0.35624233,0.076424921
Alabama,Franklin,2394,"31,362",0.82489653,0.165950334,0.076334417
North Dakota,Bottineau,479,"6,282",0.741608796,0.236979167,0.076249602
Iowa,Black Hawk,10005,"131,228",0.567912548,0.411926425,0.076241351
Indiana,Elkhart,15714,"206,341",0.764340627,0.220480978,0.07615549
North Dakota,Burke,161,"2,115",0.767267267,0.147147147,0.076122931
Tennessee,Johnson,1351,"17,788",0.829718979,0.159373797,0.075950079
Wisconsin,Waupaca,3871,"50,990",0.650731506,0.333092932,0.075916846
Indiana,Cass,2860,"37,689",0.579875948,0.397794624,0.07588421
Tennessee,Decatur,885,"11,663",0.783790142,0.205505235,0.075880991
South Dakota,Charles Mix,703,"9,292",0.674596881,0.311128734,0.075656479
Montana,Wibaux,73,969,0.862876254,0.128762542,0.075335397
Tennessee,Bledsoe,1133,"15,064",0.82059743,0.168634943,0.075212427
Arizona,Yuma,16042,"213,787",0.522688412,0.461250676,0.075037303
Kansas,Cheyenne,199,"2,657",0.844465649,0.136450382,0.0748965
Iowa,Pocahontas,495,"6,619",0.412786674,0.565219073,0.074784711
Iowa,Emmet,688,"9,208",0.603397486,0.376472899,0.074717637
Arizona,Santa Cruz,3468,"46,498",0.316126062,0.671288243,0.074583853
Kansas,Ellis,2129,"28,553",0.748666904,0.229648063,0.074563093
Oregon,Malheur,2265,"30,571",0.695185789,0.274779027,0.074089824
Kansas,Logan,207,"2,794",0.541844076,0.431507855,0.07408733
South Dakota,Grant,522,"7,052",0.699065421,0.281975968,0.074021554
North Dakota,Wells,283,"3,834",0.797217538,0.186340641,0.07381325
Arkansas,Jefferson,4929,"66,824",0.379544547,0.59456652,0.073760924
Mississippi,Sunflower,1852,"25,110",0.311971459,0.676268499,0.073755476
Mississippi,Neshoba,2144,"29,118",0.710463327,0.277568815,0.073631431
Montana,Hill,1213,"16,484",0.551416213,0.414678387,0.073586508
Minnesota,Kandiyohi,3177,"43,199",0.619415476,0.361958714,0.073543369
Oklahoma,Okfuskee,882,"11,993",0.757305597,0.221892026,0.0735429
Alabama,Perry,656,"8,923",0.256184084,0.738063279,0.073517875
Texas,Moore,1537,"20,940",0.791712105,0.192475463,0.073400191
North Dakota,Ransom,383,"5,218",0.577568563,0.385591486,0.07339977
North Dakota,Williams,2759,"37,589",0.819530977,0.15099755,0.073399133
Kentucky,Elliott,551,"7,517",0.779816514,0.207186544,0.073300519
Iowa,Cerro Gordo,3110,"42,450",0.691219437,0.29770875,0.073262662
Arkansas,Yell,1563,"21,341",0.775592311,0.189986589,0.073239305
Wisconsin,Sheboygan,8447,"115,340",0.675190139,0.311696827,0.073235651
Arkansas,Mississippi,2960,"40,651",0.591031171,0.369658989,0.072814937
Iowa,Hancock,773,"10,630",0.651863423,0.331510823,0.072718721
Idaho,Twin Falls,6312,"86,878",0.558827694,0.421350701,0.072653606
Wyoming,Albany,2817,"38,880",0.460724264,0.488448313,0.072453704
South Dakota,Mellette,149,"2,061",0.583875163,0.387516255,0.072295002
Kansas,Stevens,395,"5,485",0.739460059,0.23585429,0.072014585
Wyoming,Fremont,2827,"39,261",0.662967257,0.304731931,0.072005298
Minnesota,Stearns,11593,"161,075",0.602029605,0.376658358,0.071972684
Wisconsin,Florence,309,"4,295",0.72575706,0.265736645,0.071944121
Mississippi,Montgomery,703,"9,775",0.576427997,0.419147224,0.071918159
Mississippi,Holmes,1223,"17,010",0.18281871,0.792112504,0.071898883
Nebraska,Wayne,674,"9,385",0.727380952,0.243333333,0.071816729
Montana,Deer Lodge,656,"9,140",0.446808511,0.524140753,0.071772429
Wisconsin,Outagamie,13475,"187,885",0.539432468,0.440377739,0.071719403
Missouri,Perry,1372,"19,136",0.809629865,0.176158659,0.071697324
Idaho,Jerome,1748,"24,412",0.699136607,0.270500011,0.071604129
Wisconsin,Marinette,2889,"40,350",0.66601384,0.320450886,0.071598513
Georgia,Appling,1315,"18,386",0.782400192,0.213283779,0.07152181
Texas,Terry,882,"12,337",0.778547672,0.20981153,0.071492259
Georgia,Ware,2554,"35,734",0.694599888,0.297216004,0.071472547
New Mexico,Luna,1694,"23,709",0.54387264,0.439837097,0.07144966
Iowa,Dickinson,1232,"17,258",0.504673244,0.475762184,0.071387183
Nebraska,Thurston,515,"7,224",0.507410636,0.482563208,0.071290144
Montana,Blaine,476,"6,681",0.470682474,0.509131689,0.071246819
Tennessee,Pickett,359,"5,048",0.81211499,0.179329227,0.071117274
North Dakota,McHenry,408,"5,745",0.788500336,0.18796234,0.071018277
Montana,Valley,524,"7,396",0.733848315,0.241104869,0.070849108
South Dakota,Union,1127,"15,932",0.671141697,0.307874549,0.070738137
Missouri,Cole,5426,"76,745",0.660132705,0.321303753,0.070701674
Iowa,Harrison,991,"14,049",0.652935844,0.328734011,0.070538828
Wisconsin,Trempealeau,2091,"29,649",0.574889294,0.40915603,0.070525144
Missouri,New Madrid,1204,"17,076",0.75151766,0.241169978,0.070508316
South Dakota,Campbell,97,"1,376",0.855670103,0.134020619,0.070494186
Wisconsin,Racine,13838,"196,311",0.511785872,0.471190613,0.070490192
Georgia,Atkinson,575,"8,165",0.729001585,0.261489699,0.070422535
Wisconsin,Barron,3186,"45,244",0.623515486,0.362753995,0.070418177
Nebraska,Dodge,2569,"36,565",0.649466825,0.327369668,0.070258444
Iowa,Louisa,775,"11,035",0.693417074,0.283786927,0.070231083
Tennessee,Macon,1726,"24,602",0.796625027,0.190970853,0.070156898
Mississippi,Leflore,1977,"28,183",0.320738567,0.665688432,0.070148671
Georgia,Miller,401,"5,718",0.728747795,0.264197531,0.070129416
Wisconsin,Marquette,1092,"15,574",0.631236203,0.357505519,0.070116861
Wisconsin,Jackson,1447,"20,643",0.568273289,0.417689212,0.070096401
Wisconsin,Waushara,1713,"24,443",0.664700678,0.323503391,0.070081414
Nebraska,Scotts Bluff,2493,"35,618",0.70704428,0.27032507,0.0699927
Iowa,Page,1055,"15,107",0.680881164,0.306790622,0.069835176
Texas,Parmer,669,"9,605",0.805513595,0.18429003,0.069651223
Mississippi,Sharkey,300,"4,321",0.318497914,0.66759388,0.069428373
Kansas,Meade,280,"4,033",0.686264514,0.290739167,0.069427225
Tennessee,Putnam,5567,"80,245",0.707684956,0.273408799,0.069375039
Wisconsin,Marathon,9406,"135,692",0.581475352,0.401441211,0.069318751
Wisconsin,Green Lake,1310,"18,913",0.671949733,0.313607803,0.069264527
Kansas,Hodgeman,124,"1,794",0.685683364,0.286332715,0.069119287
Illinois,Cass,839,"12,147",0.373837603,0.593136886,0.069070552
Mississippi,Quitman,469,"6,792",0.31765805,0.665836188,0.069051826
South Dakota,Haakon,131,"1,899",0.90237467,0.092348285,0.068983676
Nebraska,Kearney,448,"6,495",0.783068783,0.1946533,0.068976135
Arkansas,Izard,940,"13,629",0.796788674,0.17593232,0.068970577
South Dakota,Lawrence,1779,"25,844",0.632991033,0.328102401,0.068836093
Missouri,Moniteau,1110,"16,132",0.802517483,0.182797203,0.068807339
Tennessee,Houston,563,"8,201",0.737571312,0.236077153,0.068650165
Minnesota,Lyon,1747,"25,474",0.61932127,0.35908985,0.068579728
Kansas,Trego,192,"2,803",0.728567729,0.247604248,0.068498038
Georgia,Whitfield,7160,"104,628",0.697654166,0.290371741,0.068432924
Mississippi,Washington,3002,"43,909",0.391287807,0.59140194,0.068368672
Mississippi,Carroll,680,"9,947",0.722333112,0.266799734,0.06836232
Illinois,Effingham,2324,"34,008",0.79986046,0.18090302,0.068336862
Montana,Sheridan,226,"3,309",0.690980779,0.282897979,0.06829858
Minnesota,Watonwan,744,"10,897",0.597765363,0.382777885,0.068275672
Iowa,Bremer,1711,"25,062",0.596523841,0.387303653,0.068270689
Tennessee,Clay,519,"7,615",0.779520821,0.209640616,0.068154957
Mississippi,Tallahatchie,941,"13,809",0.449556094,0.531880549,0.068143964
Kansas,Phillips,356,"5,234",0.721576278,0.254155287,0.068016813
Wisconsin,Milwaukee,64259,"945,726",0.292753876,0.691276542,0.067946741
Texas,Lamb,876,"12,893",0.777981298,0.205726405,0.067943845
Utah,Utah,43201,"636,235",0.669480299,0.267189859,0.067901011
Alabama,Bullock,684,"10,101",0.248316315,0.747121443,0.067716068
Georgia,Echols,270,"4,006",0.871616933,0.115891742,0.067398902
Kansas,Greeley,83,"1,232",0.791831357,0.185111989,0.06737013
Iowa,Jackson,1308,"19,439",0.604270566,0.378298552,0.067287412
North Dakota,Adams,149,"2,216",0.772511848,0.203791469,0.067238267
Ohio,Marion,4374,"65,093",0.682960997,0.298200988,0.067196165
Kansas,Lyon,2230,"33,195",0.687864182,0.286094526,0.067178792
Arizona,Navajo,7444,"110,924",0.532741334,0.451130888,0.067109012
Kansas,Russell,460,"6,856",0.638015083,0.334236073,0.067094516
Wisconsin,Eau Claire,7018,"104,646",0.435116339,0.542920924,0.067064197
Minnesota,Pipestone,612,"9,126",0.720397405,0.264801298,0.067061144
Illinois,Carroll,959,"14,305",0.68056338,0.303286385,0.067039497
Illinois,Kankakee,7363,"109,862",0.464966491,0.511911556,0.067020444
Iowa,Humboldt,640,"9,558",0.747984395,0.238491547,0.066959615
Missouri,St. Francois,4499,"67,215",0.775805725,0.211460446,0.066934464
Virginia,Franklin City,533,"7,967",0.713259308,0.272370999,0.066900966
South Dakota,Pennington,7608,"113,775",0.609600473,0.358253069,0.06686882
Kansas,Decatur,189,"2,827",0.761951114,0.220635951,0.066855324
Wisconsin,Iron,380,"5,687",0.605060779,0.380302654,0.066819061
South Dakota,Stanley,207,"3,098",0.728208232,0.254842615,0.066817301
Nebraska,Nance,235,"3,519",0.786105033,0.196389497,0.066780335
Texas,Tom Green,7954,"119,200",0.71571139,0.269675436,0.066728188
Ohio,Mercer,2745,"41,172",0.817254333,0.169939384,0.066671524
Georgia,Bacon,744,"11,164",0.86075407,0.133890317,0.06664278
Kansas,Sherman,394,"5,917",0.828871893,0.156787763,0.066587798
Iowa,Wapello,2327,"34,969",0.573025359,0.405007269,0.066544654
Kansas,Reno,4125,"61,998",0.821793417,0.158910329,0.066534404
Iowa,Des Moines,2591,"38,967",0.66221153,0.326116012,0.06649216
Tennessee,Smith,1338,"20,157",0.788489209,0.199003874,0.066378925
Nebraska,Hall,4065,"61,353",0.664611025,0.31463811,0.066255929
South Dakota,Hutchinson,483,"7,291",0.781523759,0.202282984,0.066246057
Tennessee,Overton,1473,"22,241",0.789127182,0.202294264,0.066229036
Alabama,Clay,876,"13,235",0.808476783,0.182554607,0.066188138
Arkansas,Poinsett,1557,"23,528",0.788891885,0.187112429,0.066176471
Illinois,Pulaski,353,"5,335",0.591330344,0.391330344,0.066166823
North Dakota,Kidder,164,"2,480",0.831724138,0.152413793,0.066129032
Texas,Lavaca,1332,"20,154",0.863364394,0.130750368,0.066091099
Texas,Concho,180,"2,726",0.834384858,0.155362776,0.066030814
Iowa,Taylor,404,"6,121",0.649034561,0.332467954,0.066002287
Arizona,Apache,4741,"71,887",0.307853532,0.681132618,0.065950728
Kansas,Scott,318,"4,823",0.548529521,0.423426952,0.065934066
Iowa,Palo Alto,585,"8,886",0.73970474,0.246026701,0.065833896
Kansas,Stanton,132,"2,006",0.8668002,0.116675013,0.065802592
Iowa,Franklin,662,"10,070",0.703242542,0.279636835,0.065739821
Texas,Deaf Smith,1219,"18,546",0.833784306,0.155778894,0.065728459
Oklahoma,Jackson,1612,"24,530",0.777520983,0.200218951,0.06571545
Minnesota,Waseca,1223,"18,612",0.637685346,0.336414404,0.065710294
Texas,Randall,9040,"137,713",0.82453232,0.163120061,0.065643766
Tennessee,Hardin,1680,"25,652",0.828507023,0.153806138,0.065491969
Texas,Webb,18109,"276,652",0.378409971,0.6110551,0.065457687
South Dakota,Hamlin,403,"6,164",0.769380474,0.209860525,0.065379624
Oklahoma,McCurtain,2143,"32,832",0.806563325,0.181398417,0.065271686
Ohio,Pickaway,3813,"58,457",0.725986247,0.259391965,0.065227432
Arkansas,Lawrence,1070,"16,406",0.780092197,0.184394741,0.065220041
Texas,Yoakum,568,"8,713",0.824914546,0.159134068,0.065189946
Mississippi,Coahoma,1442,"22,124",0.258688341,0.727158072,0.065178087
Mississippi,Noxubee,678,"10,417",0.265511178,0.720170811,0.065085917
Alabama,Clarke,1536,"23,622",0.557930087,0.437337811,0.06502413
Iowa,Hamilton,957,"14,773",0.711550941,0.272874757,0.064780343
Georgia,Coffee,2802,"43,273",0.695548805,0.294743099,0.064751693
