Holidays,Province_State,Country_Region,Confirmed,Deaths,Recovered
Labor Day,Montana,US,8316,118,6246
Labor Day,Nebraska,US,35975,404,27710
Labor Day,Nevada,US,71967,1393,1853
Labor Day,New Hampshire,US,7476,433,6805
Labor Day,New Jersey,US,194390,15991,34202
Labor Day,New Mexico,US,26144,807,13530
Labor Day,New York,US,440021,33002,75471
Labor Day,North Carolina,US,177919,2897,156652
Labor Day,North Dakota,US,13801,156,11080
Labor Day,Northern Mariana Islands,US,59,2,29
Labor Day,Ohio,US,131336,4276,108578
Labor Day,Oklahoma,US,64220,853,53414
Labor Day,Oregon,US,28190,482,5198
Labor Day,Pennsylvania,US,144540,7771,114687
Labor Day,Puerto Rico,US,35375,477,
Labor Day,Rhode Island,US,22243,1055,2147
Labor Day,South Carolina,US,125607,2907,51431
Labor Day,South Dakota,US,15300,173,12235
Labor Day,Tennessee,US,165109,1869,146213
Labor Day,Texas,US,662659,13703,543412
Labor Day,Utah,US,55033,423,46468
Labor Day,Vermont,US,1651,58,1465
Labor Day,Virgin Islands,US,1190,17,1069
Labor Day,Virginia,US,127571,2684,15742
Labor Day,Washington,US,77545,1953,
Labor Day,West Virginia,US,11575,248,8581
Labor Day,Wisconsin,US,81760,1168,72478
Labor Day,Wyoming,US,4032,42,3416
Colombus Day,Alabama,US,166514,2665,71240
Colombus Day,Alaska,US,9877,60,5802
Colombus Day,American Samoa,US,0,0,
Colombus Day,Arizona,US,226050,5759,37287
Colombus Day,Arkansas,US,93487,1586,84055
Colombus Day,California,US,857913,16586,
Colombus Day,Colorado,US,79037,2116,6835
Colombus Day,Connecticut,US,61377,4532,9522
Colombus Day,Delaware,US,22289,656,11493
Colombus Day,Diamond Princess,US,49,0,
Colombus Day,District of Columbia,US,16022,637,12539
Colombus Day,Florida,US,736024,15412,
Colombus Day,Georgia,US,332311,7429,
Colombus Day,Grand Princess,US,103,3,
Colombus Day,Guam,US,3170,60,2189
Colombus Day,Hawaii,US,13514,169,10750
Colombus Day,Idaho,US,48663,510,24304
Colombus Day,Illinois,US,324918,9243,
Colombus Day,Indiana,US,136555,3795,102769
Colombus Day,Iowa,US,100453,1481,76611
Colombus Day,Kansas,US,69304,787,2301
